ts_year,model,te_true,te_hat,error
1900,nn,14.487282583069133,3.5805256,-10.90675694639616
1901,nn,14.700943759977754,8.310897,-6.390046886503633
1902,nn,15.256816019735744,7.98391,-7.272905935964992
1903,nn,14.184064847874998,7.673509,-6.510555726933836
1904,nn,13.61113062476378,7.058044,-6.553086668007188
1905,nn,15.631380703843496,7.277351,-8.354029801286122
1906,nn,14.64172866295746,9.745759,-4.895969652642519
1907,nn,13.604969024756258,8.197591,-5.4073781968143635
1908,nn,14.011913798829797,11.101655,-2.9102587924211054
1909,nn,13.416215103156569,11.993767,-1.4224483184886
1910,nn,14.413157409488937,13.531647,-0.881510680973312
1911,nn,16.245305152302475,10.191951,-6.053354354267807
1912,nn,15.029510627165616,13.956204,-1.0733062127979398
1913,nn,14.71308326569473,11.327411,-3.3856725677577177
1914,nn,18.517665177461165,11.111228,-7.406437188264388
1915,nn,14.724623976545887,12.628265,-2.096358595686512
1916,nn,14.470547959024794,14.356343,-0.1142046896766491
1917,nn,16.394583235523434,12.534298,-3.8602852924082
1918,nn,16.83282277374691,10.198586,-6.634236309818686
1919,nn,15.689325670629534,12.319348,-3.369977335363421
1920,nn,16.733471245671403,12.603761,-4.129710526372087
1921,nn,16.79690801586903,11.732049,-5.064859027526744
1922,nn,17.435213222876413,13.303405,-4.13180841483198
1923,nn,16.739484962250856,14.426628,-2.312856849457887
1924,nn,15.670030851072921,12.226102,-3.4439289757677454
1925,nn,18.4027652476676,12.203156,-6.1996087764151575
1926,nn,16.177477990411838,17.769567,1.592089499212186
1927,nn,16.068219615720047,16.01034,-0.05787987878156997
1928,nn,16.348952325915512,13.1634445,-3.1855078068725433
1929,nn,16.78215642900731,20.477282,3.695125141427262
1930,nn,16.298285476587285,16.461788,0.16350270090294927
1931,nn,14.965649315070607,19.346954,4.381305030632518
1932,nn,17.49767260906784,15.03513,-2.4625430619487005
1933,nn,16.580281572788586,17.579184,0.9989020057026252
1934,nn,18.32063555295069,17.850504,-0.47013163144190173
1935,nn,18.746467722875085,17.16018,-1.5862885846914914
1936,nn,17.451185526912433,17.713991,0.2628056382487003
1937,nn,20.828488405518502,18.934042,-1.8944464285897915
1938,nn,22.386860748598234,15.841893,-6.5449675524922775
1939,nn,16.714699642300733,16.616114,-0.09858597958100646
1940,nn,18.634931863048937,19.165653,0.5307213657108285
1941,nn,17.857510681497608,19.30547,1.447958831441845
1942,nn,19.877139209691297,18.827341,-1.0497981299793828
1943,nn,21.872892020313,20.373734,-1.499158499805187
1944,nn,24.078307811632953,15.573543,-8.504765216723285
1945,nn,21.272709744635925,18.50225,-2.7704590732492065
1946,nn,24.741447241346957,17.4981,-7.243346960585239
1947,nn,24.624777916581326,19.251871,-5.372906807572537
1948,nn,19.589057739119273,21.948595,2.3595373078777975
1949,nn,21.861127290666627,16.83838,-5.022746477067994
1950,nn,23.018153050469397,17.67989,-5.338263371514319
1951,nn,20.74341412338984,19.732185,-1.011228759620309
1952,nn,24.883533554611386,21.682549,-3.2009850316621673
1953,nn,21.796978486126978,18.664705,-3.13227320963772
1954,nn,25.048456111608758,17.676928,-7.371528545080437
1955,nn,23.394161700513052,17.756594,-5.63756799628942
1956,nn,23.753314358336056,20.781288,-2.9720262113633993
1957,nn,22.800807390473008,19.139473,-3.6613344290472263
1958,nn,26.926176216421364,21.40149,-5.524686958608864
1959,nn,24.474601153117007,22.325205,-2.149396303873843
1960,nn,25.947768640485624,20.252733,-5.695035409894803
1961,nn,24.99259324890535,20.996387,-3.9962057672158977
1962,nn,28.16796374658541,17.366945,-10.801018479861778
1963,nn,25.624818131651992,22.80832,-2.816499039855117
1964,nn,28.103493072268943,20.418795,-7.684698440310935
1965,nn,31.50790016659955,17.788603,-13.719297337620059
1966,nn,33.18015975202595,21.516478,-11.663682167187083
1967,nn,31.13622171428871,19.78597,-11.350251026422498
1968,nn,30.22960183950229,22.319473,-7.910128572900728
1969,nn,27.43411574451746,17.826391,-9.607724524424686
1970,nn,29.209253755806674,22.983404,-6.225849596260776
1971,nn,28.457974044273893,18.807795,-9.650179473351042
1972,nn,30.649976992926884,21.530943,-9.119034076056767
1973,nn,32.37988657871846,19.075472,-13.304414700666705
1974,nn,31.298942708950623,19.062151,-12.236791753750428
1975,nn,27.26877257674788,23.823534,-3.4452385649070614
1976,nn,31.174634326048018,20.847534,-10.327100146360518
1977,nn,32.723029312581225,22.05517,-10.667859253377124
1978,nn,34.284441702401345,19.956327,-14.328114264046853
1979,nn,34.93887159287155,21.762423,-13.176449031226042
1980,nn,37.61445161611996,21.67948,-15.934972017120934
1981,nn,38.62967959241343,21.576746,-17.052933605474955
1982,nn,39.213248788315134,20.630661,-18.582587777572947
1983,nn,36.96099443231632,21.00731,-15.953683565006749
1984,nn,44.526739291427454,19.588394,-24.93834512638839
1985,nn,36.981401155392,21.264746,-15.716655443111726
1986,nn,41.69524579006274,19.712809,-21.982437181053953
1987,nn,38.62564591885211,20.853195,-17.77245072842242
1988,nn,33.47237286131398,22.760763,-10.711609692979017
1989,nn,34.84983908107751,22.079966,-12.769873489646848
1990,nn,36.89204622897443,24.151148,-12.740898386567203
1991,nn,40.59348065473028,23.279749,-17.313731738104302
1992,nn,41.45130106410297,20.368397,-21.082904305069768
1993,nn,44.29952515366953,21.646074,-22.653450858625582
1994,nn,46.59210273800314,22.898832,-23.69327041683615
1995,nn,44.644358579100036,21.839151,-22.805207196653747
1996,nn,43.50664772440701,21.721426,-21.785221714275174
1997,nn,41.11607391088446,21.59873,-19.517343823604186
1998,nn,43.18324473471231,21.995722,-21.18752291769571
1999,nn,46.327077573053636,20.325106,-26.001971905939378
