ts_year,model,te_true,te_hat,error
1900-01-01,twfe,14.487282583069133,19.310380650786424,4.823098067717291
1901-01-01,twfe,14.700943759977754,17.55087889316359,2.8499351331858342
1902-01-01,twfe,15.256816019735744,19.173051552043557,3.9162355323078124
1903-01-01,twfe,14.184064847874998,18.767857427157903,4.583792579282905
1904-01-01,twfe,13.61113062476378,15.218232776544264,1.6071021517804844
1905-01-01,twfe,15.631380703843496,20.563091546152883,4.931710842309387
1906-01-01,twfe,14.64172866295746,17.683595376211986,3.0418667132545263
1907-01-01,twfe,13.604969024756258,15.665793510844601,2.060824486088343
1908-01-01,twfe,14.011913798829797,15.21058755154972,1.1986737527199232
1909-01-01,twfe,13.416215103156569,17.88869254802671,4.472477444870142
1910-01-01,twfe,14.413157409488937,16.542875722504135,2.129718313015198
1911-01-01,twfe,16.245305152302475,24.638792486786958,8.393487334484483
1912-01-01,twfe,15.029510627165616,23.11504234871227,8.085531721546653
1913-01-01,twfe,14.71308326569473,20.044011974670774,5.330928708976044
1914-01-01,twfe,18.517665177461165,21.100154615657512,2.5824894381963475
1915-01-01,twfe,14.724623976545887,18.00835949378735,3.283735517241462
1916-01-01,twfe,14.470547959024794,15.95198346944852,1.4814355104237258
1917-01-01,twfe,16.394583235523434,20.144459019432244,3.7498757839088093
1918-01-01,twfe,16.83282277374691,18.203590588761845,1.3707678150149363
1919-01-01,twfe,15.689325670629534,17.069928820940067,1.3806031503105327
1920-01-01,twfe,16.733471245671403,16.64673281833444,-0.08673842733696446
1921-01-01,twfe,16.79690801586903,20.752324125595468,3.955416109726439
1922-01-01,twfe,17.435213222876413,19.499790259359166,2.0645770364827527
1923-01-01,twfe,16.739484962250856,19.43460290720378,2.695117944952923
1924-01-01,twfe,15.670030851072921,17.090917972929933,1.420887121857012
1925-01-01,twfe,18.4027652476676,17.174139327445918,-1.2286259202216812
1926-01-01,twfe,16.177477990411838,19.994861171738027,3.817383181326189
1927-01-01,twfe,16.068219615720047,20.518056660690686,4.449837044970639
1928-01-01,twfe,16.348952325915512,18.455633569633775,2.1066812437182634
1929-01-01,twfe,16.78215642900731,20.952994746888482,4.170838317881174
1930-01-01,twfe,16.298285476587285,20.5886526100733,4.290367133486015
1931-01-01,twfe,14.965649315070607,17.069200654556088,2.103551339485481
1932-01-01,twfe,17.49767260906784,20.410505969117178,2.912833360049337
1933-01-01,twfe,16.580281572788586,17.441020091666868,0.8607385188782821
1934-01-01,twfe,18.32063555295069,21.337420013959786,3.0167844610090953
1935-01-01,twfe,18.746467722875085,19.510051855067903,0.7635841321928183
1936-01-01,twfe,17.451185526912433,18.618409539242514,1.167224012330081
1937-01-01,twfe,20.828488405518502,24.421181737143712,3.5926933316252097
1938-01-01,twfe,22.386860748598234,26.305536488888595,3.918675740290361
1939-01-01,twfe,16.714699642300733,16.80847464524052,0.09377500293978613
1940-01-01,twfe,18.634931863048937,21.63066029292925,2.9957284298803124
1941-01-01,twfe,17.857510681497608,18.53318613313218,0.6756754516345715
1942-01-01,twfe,19.877139209691297,21.052915709490264,1.1757764997989675
1943-01-01,twfe,21.872892020313,17.52011189953176,-4.35278012078124
1944-01-01,twfe,24.078307811632953,22.709353741545964,-1.368954070086989
1945-01-01,twfe,21.272709744635925,18.4923833645931,-2.780326380042826
1946-01-01,twfe,24.741447241346957,24.94940232144722,0.20795508010026253
1947-01-01,twfe,24.624777916581326,18.957386319447032,-5.667391597134294
1948-01-01,twfe,19.589057739119273,21.55986148214967,1.9708037430303982
1949-01-01,twfe,21.861127290666627,20.565372442031002,-1.2957548486356245
1950-01-01,twfe,23.018153050469397,15.657333915590717,-7.36081913487868
1951-01-01,twfe,20.74341412338984,19.622281113258456,-1.1211330101313841
1952-01-01,twfe,24.883533554611386,18.63280023961745,-6.250733314993937
1953-01-01,twfe,21.796978486126978,27.930383873444807,6.133405387317829
1954-01-01,twfe,25.048456111608758,18.173139200897694,-6.875316910711064
1955-01-01,twfe,23.394161700513052,27.845216677801407,4.451054977288354
1956-01-01,twfe,23.753314358336056,23.625192579616613,-0.12812177871944286
1957-01-01,twfe,22.800807390473008,13.77925215038195,-9.021555240091057
1958-01-01,twfe,26.926176216421364,18.13084594857807,-8.795330267843294
1959-01-01,twfe,24.474601153117007,21.657437275465554,-2.8171638776514527
1960-01-01,twfe,25.947768640485624,14.537480401690067,-11.410288238795557
1961-01-01,twfe,24.99259324890535,17.832945606118532,-7.159647642786819
1962-01-01,twfe,28.16796374658541,15.25036981782987,-12.91759392875554
1963-01-01,twfe,25.624818131651992,20.549376916926107,-5.075441214725885
1964-01-01,twfe,28.103493072268943,15.391537573217093,-12.71195549905185
1965-01-01,twfe,31.50790016659955,17.10110396824592,-14.406796198353632
1966-01-01,twfe,33.18015975202595,25.02416245827644,-8.155997293749511
1967-01-01,twfe,31.13622171428871,21.382140029056483,-9.754081685232226
1968-01-01,twfe,30.22960183950229,16.136469330668763,-14.093132508833527
1969-01-01,twfe,27.43411574451746,22.69555617200122,-4.738559572516241
1970-01-01,twfe,29.209253755806674,19.117619030672426,-10.091634725134249
1971-01-01,twfe,28.457974044273893,31.350797059970674,2.8928230156967807
1972-01-01,twfe,30.649976992926884,23.475855946571034,-7.17412104635585
1973-01-01,twfe,32.37988657871846,19.287819976308757,-13.092066602409705
1974-01-01,twfe,31.298942708950623,21.05332039572607,-10.245622313224551
1975-01-01,twfe,27.26877257674788,27.266275650582426,-0.002496926165456159
1976-01-01,twfe,31.174634326048018,17.805697882629598,-13.36893644341842
