ts_year,model,te_true,te_hat,error
1900,nn,8.4146219515274,5.6694226,-2.745199325032038
1901,nn,7.327872755619588,9.236615,1.9087424253496499
1902,nn,7.922039695152219,8.100513,0.17847376309973395
1903,nn,9.248976077291767,8.098728,-1.150247897360126
1904,nn,7.872338536000359,7.9139442,0.0416057083844068
1905,nn,8.06339538500138,7.8077197,-0.2556756775123663
1906,nn,7.409564316473774,9.714286,2.3047215340511285
1907,nn,8.242983697339286,8.802377,0.5593930497920621
1908,nn,8.06116473572116,10.610712,2.5495473156704413
1909,nn,7.182398395916112,11.368843,4.186444682697169
1910,nn,9.010586953918784,11.202302,2.1917150251461575
1911,nn,7.476151764472097,10.407466,2.931314170281321
1912,nn,8.076514366834298,12.001592,3.9250773155997845
1913,nn,8.345011007786932,10.035783,1.6907718062389474
1914,nn,7.491921961456072,9.819243,2.327321469635237
1915,nn,7.650724306137735,11.118271,3.4675465678857025
1916,nn,7.796962383456357,11.287768,3.4908059804962797
1917,nn,7.78092171277746,10.885944,3.1050226536776178
1918,nn,7.862071014321576,9.161801,1.2997303238742246
1919,nn,7.136655750064645,9.357062,2.2204065897180696
1920,nn,7.758500970481882,9.764041,2.005539976478567
1921,nn,7.196262097090663,9.163845,1.9675829651651968
1922,nn,6.150742055223533,9.603553,3.4528107630748073
1923,nn,7.483083451206819,10.878058,3.3949749823258957
1924,nn,7.333042853126144,8.8012,1.4681570598987586
1925,nn,8.244312669842083,9.375518,1.1312051753117256
1926,nn,8.046540888564042,12.04103,3.994489041550704
1927,nn,8.22515896763606,10.520135,2.2949759582062246
1928,nn,8.331616977868075,9.348362,1.0167449911260658
1929,nn,7.355299146920988,12.762513,5.4072140137845786
1930,nn,7.682734227081174,10.511359,2.8286249877015406
1931,nn,8.252907340017261,10.946225,2.6933178263035398
1932,nn,7.438557616263817,9.834797,2.396239289253761
1933,nn,7.955796365414236,10.750019,2.794222708072092
1934,nn,8.176699381177665,9.843614,1.6669142433950892
1935,nn,7.309786926773366,10.62144,3.311653007003489
1936,nn,7.883139526888679,9.890068,2.0069285273105395
1937,nn,8.139508446663344,10.5906315,2.4511230383220077
1938,nn,8.500768950029288,8.535056,0.03428716416748934
1939,nn,6.9753765725724435,9.220201,2.2448239660628104
1940,nn,7.364310251671263,11.415684,4.0513734946666276
1941,nn,8.019159189207631,9.665515,1.6463557567762557
1942,nn,9.234122838698257,10.906556,1.6724332907573096
1943,nn,9.269799452687886,10.471263,1.2014634791358443
1944,nn,7.886924951251096,8.523015,0.6360900710267359
1945,nn,7.255383106049282,9.941114,2.6857313196098973
1946,nn,7.933698220777426,8.094848,0.16114945836075734
1947,nn,8.390216802661454,10.106162,1.715945268566573
1948,nn,7.52765735764267,10.490806,2.9631482682728576
1949,nn,8.276337413462239,8.691245,0.41490766557828884
1950,nn,8.843665075760692,9.117577,0.27391152336040214
1951,nn,8.391641305516199,10.088319,1.6966775192518675
1952,nn,8.123392499348386,10.045408,1.9220157495529815
1953,nn,8.052293503562113,10.270484,2.2181904670799764
1954,nn,7.573989408365392,8.218323,0.6443333455408577
1955,nn,8.779487370804832,8.887374,0.10788655345053932
1956,nn,7.758546305496502,10.426542,2.6679959766079904
1957,nn,9.81348490952381,8.954688,-0.8587968373192201
1958,nn,8.638923155538798,9.616107,0.9771838314607137
1959,nn,9.857089115383,11.555959,1.6988696324807702
1960,nn,7.933077204939785,9.264279,1.3312021605997657
1961,nn,8.640384934463198,9.284321,0.6439358968356306
1962,nn,9.253660943592333,8.219155,-1.0345056320078605
1963,nn,9.525127844965295,8.840873,-0.6842550803778931
1964,nn,8.676217143700844,10.25158,1.5753630946414408
1965,nn,7.777098502910925,7.9679933,0.19089475651900667
1966,nn,11.349622034726183,9.543117,-1.80650546520714
1967,nn,9.958436210272898,7.573035,-2.385401446936717
1968,nn,7.669842345082633,9.642365,1.9725231105448087
1969,nn,9.123443522360228,6.8899283,-2.2335151814483627
1970,nn,9.427188834496151,10.212268,0.7850790411752353
