ts_year,model,te_true,te_hat,error
1900,cf,9.42484495503536,11.927254601673988,2.502409646638629
1901,cf,9.592487162612006,11.848147735557243,2.255660572945237
1902,cf,9.31317605583868,11.396303614914906,2.0831275590762264
1903,cf,9.420927268705098,11.359894949584456,1.9389676808793581
1904,cf,9.329161061300198,10.682112671061496,1.3529516097612984
1905,cf,9.430678509547006,10.869151117335134,1.4384726077881282
1906,cf,9.341413220884174,10.441785551310085,1.1003723304259108
1907,cf,9.353924399535668,10.210723494160076,0.8567990946244084
1908,cf,9.418814707669195,10.112016556513387,0.6932018488441916
1909,cf,9.244890649450527,9.945834143275563,0.7009434938250365
1910,cf,9.237381156900307,9.740565974627348,0.5031848177270408
1911,cf,9.295909645365178,9.492063869067014,0.19615422370183566
1912,cf,9.309768592540873,9.686342300978472,0.37657370843759885
1913,cf,9.484874367039502,9.531174691413629,0.046300324374126234
1914,cf,9.302877110028419,9.247511743583834,-0.05536536644458501
1915,cf,9.31394161036129,9.232003205579556,-0.08193840478173442
1916,cf,9.35461251909639,9.312446973334344,-0.04216554576204601
1917,cf,9.38783282744697,9.177838523644812,-0.20999430380215678
1918,cf,9.267240705932402,9.088793333927205,-0.17844737200519667
1919,cf,9.234281831618942,9.020057648670646,-0.21422418294829626
1920,cf,9.273046093194788,9.071400725038986,-0.20164536815580192
1921,cf,9.314182020846191,8.980383439757071,-0.33379858108911975
1922,cf,9.330820452623412,8.954981529589608,-0.37583892303380395
1923,cf,9.297906916036416,8.716352203256516,-0.5815547127798997
1924,cf,9.413119579835925,8.940984861728792,-0.47213471810713337
1925,cf,9.321698162694172,9.032366267299432,-0.28933189539474036
1926,cf,9.33778796078659,8.966073583254895,-0.37171437753169556
1927,cf,9.412740077673577,8.762089218699991,-0.6506508589735862
1928,cf,9.503186026552894,8.793503340085326,-0.709682686467568
1929,cf,9.36557805059219,8.993093773213904,-0.3724842773782857
1930,cf,9.260994367984596,8.829030669422457,-0.43196369856213934
1931,cf,9.483364266910113,8.796034045049254,-0.6873302218608597
1932,cf,9.252978459877077,8.83237676492005,-0.4206016949570266
1933,cf,9.365624423257318,9.018163108787391,-0.34746131446992656
1934,cf,9.375147449053149,8.771337549040068,-0.603809900013081
1935,cf,9.46548909222158,8.966211799564451,-0.49927729265712806
1936,cf,9.604640616670038,9.069455531153437,-0.5351850855166003
1937,cf,9.35910398545663,8.899009991397932,-0.4600939940586972
1938,cf,9.418205677006293,8.984708709448112,-0.433496967558181
1939,cf,9.518105376467346,8.966581188497234,-0.5515241879701129
1940,cf,9.585464762881285,8.98341240967178,-0.6020523532095048
1941,cf,9.440360282788518,8.82225167241058,-0.6181086103779379
1942,cf,9.511222708884493,9.061728895032694,-0.44949381385179876
1943,cf,9.548818804563263,9.123593262868875,-0.4252255416943882
1944,cf,9.628042018432883,8.948429179028166,-0.679612839404717
1945,cf,9.508985919994128,8.99256340869415,-0.5164225112999787
1946,cf,9.572165089529815,9.083452605640392,-0.48871248388942234
1947,cf,9.624591012299598,9.108962567225891,-0.5156284450737072
1948,cf,9.75416317331763,9.178502470776717,-0.5756607025409135
1949,cf,9.781842230159782,9.231202541779068,-0.5506396883807145
1950,cf,9.879954376054547,9.270577640933427,-0.6093767351211206
1951,cf,9.84299119921634,9.188791301857544,-0.6541998973587972
1952,cf,9.851730695299343,9.348088378758199,-0.5036423165411446
1953,cf,9.933149261697945,9.385329735851501,-0.5478195258464442
1954,cf,9.90780552630335,9.276659905511515,-0.6311456207918358
1955,cf,10.094197376583525,9.48909872070034,-0.6050986558831841
1956,cf,10.308465956754889,9.588035609240965,-0.7204303475139238
1957,cf,10.31842267840336,9.69327371139886,-0.6251489670045007
1958,cf,10.084431857979967,9.728092703752516,-0.35633915422745055
1959,cf,10.237552236459049,9.692511954202413,-0.545040282256636
1960,cf,10.573806096835614,10.141225461800524,-0.4325806350350909
1961,cf,10.324353777567753,9.74974772168337,-0.5746060558843826
1962,cf,10.379526299153286,9.954768817788736,-0.4247574813645496
1963,cf,10.522190338839337,9.816500879731928,-0.7056894591074094
1964,cf,10.57741144936778,10.117621669209662,-0.45978978015811833
