ts_year,y,t,te_hat
1970,757.0411522274926,0.42857142857142855,42.57741579913028
1971,759.4469299316406,0.42857142857142855,45.80931801764282
1972,763.2444443475632,0.42857142857142855,46.2210131761763
1973,765.2599777948288,0.47619047619047616,47.4496126624174
1974,764.0829564874822,0.5,47.37196634079623
1975,749.7351531982422,0.4583333333333333,47.890703531415824
1976,752.0142656962076,0.4166666666666667,45.22561766779581
1977,753.0325170898437,0.44,43.923329401528065
1978,754.44478515625,0.44,45.59635519111587
1979,756.4411750206581,0.5384615384615384,42.474010262085464
1980,752.553965250651,0.5185185185185185,39.41292502573355
1981,755.026613507952,0.5,31.906194930929725
1982,753.9499893188477,0.5,30.730824101564885
1983,753.4154990059989,0.5357142857142857,29.14837431608198
1984,759.4403607768397,0.4838709677419355,25.279579432993224
1985,757.322940826416,0.5,21.83142459608422
1986,757.4115161895752,0.5,21.29588560683801
1987,756.821418762207,0.4375,18.86154784012238
1988,758.5302133560181,0.46875,16.403989200463332
1989,756.7691927823154,0.45454545454545453,14.594286368879029
1990,757.1255298961293,0.48484848484848486,12.814741788801111
1991,757.268409280216,0.5882352941176471,12.150975524605828
1992,753.9468152845228,0.5405405405405406,12.373821758304969
1993,753.1508335422825,0.6216216216216216,11.322032041035852
1994,756.0049205579256,0.6842105263157895,10.709554822776498
1995,753.848387889373,0.717948717948718,14.744545643157108
1996,749.4646519252232,0.6666666666666666,17.28986568316121
1997,744.3782531738282,0.6444444444444445,17.771803124699833
1998,744.8242562033913,0.6590909090909091,13.875865453617921
1999,752.9381856282552,0.6888888888888889,11.738498052639047
2000,754.2220289442274,0.7111111111111111,10.74199353388261
2001,756.1297980414497,0.7111111111111111,11.48247021715072
2002,757.4140319824219,0.6888888888888889,9.817684898183947
2003,763.444967066988,0.6808510638297872,9.95121204262585
2004,767.4734341235871,0.6808510638297872,12.080603280224336
2005,770.6490095422623,0.7021276595744681,14.721148529059391
2006,773.6668349556301,0.6956521739130435,22.147324305360627
2007,775.1743638780382,0.6888888888888889,23.32781492293128
2008,778.8889107082201,0.6956521739130435,21.86605586514634
2009,773.3924439895985,0.7209302325581395,25.566005601874004
2010,776.1432083484739,0.6976744186046512,27.55980368969889
