ts_year,model,te_true,te_hat,error
1900,gan,15.259624071648956,12.714052,-2.545571871331573
1901,gan,15.434414244466995,13.049045,-2.3853696353971703
1902,gan,15.280299661917708,12.248457,-3.031842706961653
1903,gan,15.193087927276112,13.0987215,-2.0943664230646863
1904,gan,15.411729677182235,14.384404,-1.027325494748153
1905,gan,14.945983930400846,13.947034,-0.9989500482597329
1906,gan,14.973209814329385,15.175145,0.201935334901572
1907,gan,15.458947108088111,14.575696,-0.8832511165719978
1908,gan,15.361049659102472,14.7224245,-0.6386251519613584
1909,gan,15.288571910404826,15.3067255,0.01815359160933383
1910,gan,15.39682108216846,13.514799,-1.8820219641264675
1911,gan,15.417733353765005,14.699194,-0.7185393992972315
1912,gan,15.218065192179186,15.198989,-0.019076277689439536
1913,gan,15.580555929407145,14.174329,-1.4062271253910321
1914,gan,15.760106404622727,15.787708,0.027601877847976297
1915,gan,15.71964730614039,17.134624,1.4149771750607822
1916,gan,15.728038471031018,16.779484,1.0514453241349973
1917,gan,15.744727400404942,17.68269,1.9379622663431046
1918,gan,15.986620456812236,17.641428,1.6548075369621777
1919,gan,16.096643283684227,18.149889,2.0532457086253437
1920,gan,16.332422485829238,17.348696,1.0162732691756453
1921,gan,15.858244750605847,18.028124,2.1698791049849735
1922,gan,16.10270522570258,18.588032,2.4853265430962495
1923,gan,16.546905017262958,19.141018,2.5941128965554014
1924,gan,16.213437351821636,19.004791,2.7913539079439893
1925,gan,16.534798728197366,18.201468,1.66666878584072
1926,gan,17.008008853227814,18.986612,1.978603466718475
1927,gan,16.736100339576872,17.85037,1.1142700675276203
1928,gan,16.974499082824483,18.281786,1.3072868821413373
1929,gan,17.381310991842916,19.483158,2.1018471197293493
1930,gan,17.620130970236932,19.651564,2.0314326741722475
1931,gan,17.338381954630737,21.285257,3.946875384846802
1932,gan,17.545158218035834,20.252396,2.707237411846979
1933,gan,17.691749703251183,20.698605,3.006854880489051
1934,gan,17.979435735133304,21.013893,3.034457392308102
1935,gan,18.39422836645221,21.033768,2.6395393337431017
1936,gan,18.599742725753334,21.627317,3.0275747028355333
1937,gan,18.153140923009254,21.610584,3.4574433360239496
1938,gan,18.620975945196015,21.773676,3.1526999733830863
1939,gan,18.776000816818428,22.591303,3.8153020548856738
1940,gan,19.254473429803294,22.840515,3.5860417069154558
1941,gan,19.44625825181576,23.397785,3.9515269349518185
1942,gan,19.423791740369044,25.336172,5.912380363512792
1943,gan,19.830911776156338,23.872087,4.0411757024813575
1944,gan,19.967125568445297,22.574724,2.607598628942398
1945,gan,20.479698606075964,23.90024,3.420541338382044
1946,gan,20.3786076316641,23.719664,3.341055988331018
1947,gan,20.627134667375234,24.431671,3.804536475202891
1948,gan,20.588943178399937,24.365591,3.776647870794399
1949,gan,21.648490039111127,25.51313,3.864640148877154
1950,gan,21.561352492530244,26.058035,4.496682404320342
1951,gan,21.62836748097821,25.331871,3.7035035517366346
1952,gan,21.526802221486694,25.83551,4.308708032419556
1953,gan,22.257446128404908,26.171669,3.9142228779427484
1954,gan,21.73652659688549,25.762806,4.026279341835213
1955,gan,22.30082768952735,26.607038,4.306210808397456
1956,gan,23.14752690283748,27.031288,3.883761244135176
1957,gan,22.857294558021966,27.578539,4.721244336631354
1958,gan,23.039087568402024,27.24182,4.202731813311843
1959,gan,23.751793655682544,28.22222,4.470425811480542
1960,gan,24.084509005230878,28.438274,4.353765378314044
1961,gan,23.914077579087166,28.737093,4.823015392714591
1962,gan,24.232155079023734,29.449575,5.217420345170602
1963,gan,25.458428928798725,28.968075,3.5096458697852597
1964,gan,25.2909886186029,28.817453,3.526464765796515
1965,gan,25.706093532422212,28.743626,3.0375321084469284
1966,gan,26.209958725042878,29.246685,3.0367263030332943
1967,gan,26.022088953817537,28.851734,2.829645207559416
1968,gan,26.359574447975795,30.345022,3.9854477535622905
1969,gan,27.23590734377165,29.772284,2.536376210305498
1970,gan,27.03633622776216,30.49098,3.45464392055327
1971,gan,27.949272397511105,30.979694,3.0304219689439726
1972,gan,27.546244802120686,33.30993,5.763684091922283
1973,gan,28.584701273585033,31.473806,2.889105107640553
1974,gan,29.27223427355452,32.473656,3.2014214271290733
1975,gan,29.635180942531818,33.768684,4.133503444675213
1976,gan,29.932614992453665,33.02958,3.096964170143991
1977,gan,30.759926338887798,33.493706,2.733779410623921
1978,gan,30.00944165414051,32.683002,2.6735608177833186
1979,gan,30.502405126581326,34.689537,4.1871319217585174
1980,gan,31.202536841021853,34.44301,3.240471581829709
1981,gan,31.65097756512505,34.028667,2.377689884826122
1982,gan,32.26756334915625,33.322777,1.0552134452773458
1983,gan,32.77775846476683,34.68579,1.9080325508581666
1984,gan,33.42371278894269,34.506496,1.082783640500672
1985,gan,33.04874471398956,35.987247,2.938502753051459
1986,gan,33.766526894564045,34.836273,1.0697462987953301
1987,gan,34.444319421612185,35.7021,1.2577794248233616
1988,gan,34.59413462260399,34.93523,0.3410956325229648
1989,gan,35.32690809263148,35.73227,0.40536119447789787
1990,gan,35.76009239711281,36.165417,0.40532432041649
1991,gan,35.74972139276119,37.259922,1.5102006348267025
1992,gan,36.03580164470877,37.095154,1.0593521638849808
1993,gan,37.27344295058379,38.26423,0.9907858702169889
1994,gan,37.1073880685903,37.46626,0.3588709340952434
1995,gan,37.4175572176637,37.649055,0.23149826329333223
1996,gan,38.25141347297441,37.724667,-0.5267468775154285
1997,gan,38.49266794115416,39.246834,0.7541658601153713
1998,gan,39.62560090104498,37.874012,-1.7515889076367799
1999,gan,38.80214820441521,39.16954,0.36739220085822666
