ts_year,model,te_true,te_hat,error
1900,dml,8.77811364113827,8.537284857708894,-0.24082878342937697
1901,dml,9.007104003534128,8.512548270381677,-0.4945557331524508
1902,dml,9.08003718641171,8.411850911346042,-0.6681862750656684
1903,dml,8.96993279489871,8.388553906305251,-0.5813788885934592
1904,dml,8.863535375520339,8.139464496517096,-0.7240708790032429
1905,dml,9.326549876924243,8.12738450330072,-1.199165373623524
1906,dml,8.573623400750117,7.775397803049462,-0.7982255977006547
1907,dml,9.27566321331114,7.982191635448158,-1.2934715778629808
1908,dml,8.583552192264094,7.7592816146228,-0.8242705776412933
1909,dml,8.969274791008363,7.717922111249085,-1.251352679759278
1910,dml,8.9480762227802,7.996500345938354,-0.9515758768418463
1911,dml,8.59260511969175,7.0973619809345605,-1.49524313875719
1912,dml,9.045120014699972,7.326649669806765,-1.7184703448932064
1913,dml,8.767023621842801,7.71557462547397,-1.0514489963688316
1914,dml,8.829604291694093,7.232481597214987,-1.597122694479106
1915,dml,8.632860039031357,7.298371317941153,-1.3344887210902039
1916,dml,9.040700632323999,7.205287416142177,-1.8354132161818217
1917,dml,8.783345685227573,7.180527579763236,-1.602818105464337
1918,dml,8.736217976443685,7.405684476375148,-1.3305335000685368
1919,dml,9.40866384447289,6.807416979684111,-2.60124686478878
1920,dml,8.89503896888846,7.465073582326865,-1.4299653865615953
1921,dml,9.02369320053027,7.358858553870379,-1.664834646659891
1922,dml,9.376130343224688,7.235241570738971,-2.1408887724857166
1923,dml,8.807267985372155,7.161761476463146,-1.6455065089090093
1924,dml,8.97227898072347,7.041937409434725,-1.9303415712887446
1925,dml,8.979502655056855,7.200298493904593,-1.7792041611522622
1926,dml,8.826615114823658,6.871149367010733,-1.9554657478129256
1927,dml,8.51229183018946,7.4760440827150205,-1.0362477474744392
1928,dml,8.616638371031145,6.696755990286391,-1.9198823807447543
1929,dml,9.035542222950024,7.237636576601253,-1.797905646348771
1930,dml,9.199013303741712,7.187903088606649,-2.011110215135063
1931,dml,9.32569554585972,6.936563302954426,-2.389132242905294
1932,dml,8.866812188215919,7.652968337289427,-1.2138438509264917
1933,dml,9.035605400691386,7.210101691500334,-1.825503709191052
1934,dml,9.426737001427451,7.2235525065056025,-2.2031844949218486
1935,dml,8.973849796930367,6.446395017485881,-2.5274547794444855
1936,dml,9.07267442604449,6.22621645036294,-2.84645797568155
1937,dml,9.266522797803844,7.882361627138644,-1.3841611706652008
1938,dml,9.213985600807852,7.490914972013278,-1.7230706287945745
1939,dml,9.544494797068435,6.855444523185833,-2.689050273882602
1940,dml,9.164558210557042,7.565604715632686,-1.5989534949243556
1941,dml,9.2632349653331,6.279179042735489,-2.9840559225976104
1942,dml,9.102056953486276,6.305561518167563,-2.796495435318713
1943,dml,9.67105311727471,7.374182429446189,-2.2968706878285206
1944,dml,8.795312524872868,7.029971526779982,-1.7653409980928858
1945,dml,9.253234318825202,6.855891969797981,-2.3973423490272205
1946,dml,9.093246550893024,7.831744327168976,-1.2615022237240483
1947,dml,9.463800453322435,7.315569325601604,-2.1482311277208304
1948,dml,9.003390071452367,7.236341713296751,-1.7670483581556162
1949,dml,9.156693128410309,7.405667031740206,-1.7510260966701026
1950,dml,9.259055696269453,7.194546939130847,-2.064508757138606
1951,dml,9.667040798844063,7.18897979481606,-2.478061004028003
