,ts_year,model,te_true,te_hat,error
0,1900,cf,8.4146219515274,5.768878499282471,-2.645743452244928
1,1901,cf,7.327872755619588,7.021249357828442,-0.3066233977911468
2,1902,cf,7.922039695152219,6.037670951863625,-1.8843687432885945
3,1903,cf,9.248976077291768,8.316583500104693,-0.9323925771870734
4,1904,cf,7.872338536000359,7.249266909010811,-0.6230716269895478
5,1905,cf,8.06339538500138,7.209721486117613,-0.8536738988837671
6,1906,cf,7.409564316473774,7.884080191573434,0.4745158750996605
7,1907,cf,8.242983697339286,8.22925105651577,-0.0137326408235161
8,1908,cf,8.06116473572116,8.73883808685445,0.67767335113329
9,1909,cf,7.182398395916112,8.909158076812778,1.7267596808966656
10,1910,cf,9.010586953918784,7.633914769568583,-1.376672184350201
11,1911,cf,7.476151764472097,8.433088324504162,0.956936560032065
12,1912,cf,8.076514366834298,7.253769562571438,-0.82274480426286
13,1913,cf,8.345011007786932,8.53048322607792,0.1854722182909878
14,1914,cf,7.491921961456072,8.890062063978506,1.3981401025224347
15,1915,cf,7.650724306137735,8.54359411469712,0.8928698085593849
16,1916,cf,7.796962383456357,8.31895340628126,0.5219910228249027
17,1917,cf,7.78092171277746,8.92715988854665,1.1462381757691888
18,1918,cf,7.862071014321576,9.119359066643115,1.2572880523215408
19,1919,cf,7.136655750064645,8.082314192529912,0.945658442465267
20,1920,cf,7.758500970481882,9.302999196987072,1.5444982265051896
21,1921,cf,7.196262097090663,8.405737571966013,1.20947547487535
22,1922,cf,6.150742055223533,11.549740681501993,5.39899862627846
23,1923,cf,7.483083451206819,10.335993951969906,2.8529105007630866
24,1924,cf,7.333042853126144,9.594063308997631,2.2610204558714893
25,1925,cf,8.244312669842083,9.663340718705774,1.4190280488636908
26,1926,cf,8.046540888564042,10.368132506749252,2.321591618185209
27,1927,cf,8.22515896763606,9.56551890272264,1.3403599350865782
28,1928,cf,8.331616977868075,10.17629278265894,1.8446758047908656
29,1929,cf,7.355299146920988,7.559609890739208,0.2043107438182199
30,1930,cf,7.682734227081174,7.982504758414097,0.2997705313329231
31,1931,cf,8.252907340017261,11.6808366144666,3.4279292744493404
32,1932,cf,7.438557616263817,9.477413494798729,2.0388558785349096
33,1933,cf,7.955796365414236,10.469642922083253,2.513846556669015
34,1934,cf,8.176699381177665,8.953005557402605,0.7763061762249404
35,1935,cf,7.309786926773366,8.806181694037141,1.4963947672637747
36,1936,cf,7.883139526888679,10.340088108722687,2.456948581834008
37,1937,cf,8.139508446663344,8.537956946302218,0.3984484996388744
38,1938,cf,8.500768950029288,10.266653740080327,1.7658847900510397
39,1939,cf,6.975376572572444,11.386874788429472,4.41149821585703
40,1940,cf,7.364310251671263,8.899028533443671,1.534718281772408
41,1941,cf,8.019159189207631,8.082115969310443,0.0629567801028123
42,1942,cf,9.234122838698257,10.975805610934117,1.7416827722358583
43,1943,cf,9.269799452687886,9.868200125303758,0.5984006726158722
44,1944,cf,7.886924951251096,9.471227115860133,1.5843021646090367
45,1945,cf,7.255383106049282,9.50970328041844,2.2543201743691563
46,1946,cf,7.933698220777426,9.269141215322902,1.3354429945454758
47,1947,cf,8.390216802661454,9.875848946007473,1.485632143346017
48,1948,cf,7.52765735764267,9.49063585163061,1.9629784939879409
49,1949,cf,8.276337413462239,9.310438290600835,1.0341008771385969
50,1950,cf,8.843665075760692,9.11801153153514,0.2743464557744488
51,1951,cf,8.391641305516199,9.175948550615733,0.7843072450995336
52,1952,cf,8.123392499348386,9.094518532140263,0.9711260327918794
53,1953,cf,8.052293503562113,11.498866757842052,3.4465732542799383
54,1954,cf,7.573989408365392,11.01507784652947,3.441088438164078
55,1955,cf,8.779487370804832,9.636754614403303,0.8572672435984714
56,1956,cf,7.758546305496502,8.264810821954192,0.5062645164576907
57,1957,cf,9.81348490952381,11.2397277605508,1.4262428510269896
58,1958,cf,8.638923155538798,10.393585485094295,1.754662329555499
59,1959,cf,9.857089115383,9.986073166431572,0.1289840510485724
60,1960,cf,7.933077204939785,9.93186850607182,1.9987913011320335
61,1961,cf,8.640384934463198,9.328381400100929,0.6879964656377311
62,1962,cf,9.253660943592331,11.363206486219866,2.109545542627533
63,1963,cf,9.525127844965295,10.979099407429295,1.4539715624640015
64,1964,cf,8.676217143700844,10.197974459708648,1.521757316007804
65,1965,cf,7.777098502910925,11.69618690073492,3.919088397823995
66,1966,cf,11.349622034726185,11.409473307846833,0.0598512731206497
67,1967,cf,9.958436210272898,9.25966449203574,-0.6987717182371576
68,1968,cf,7.669842345082633,11.413142895205889,3.743300550123254
69,1969,cf,9.123443522360228,11.182254654514807,2.058811132154581
70,1970,cf,9.427188834496151,9.714570147998671,0.2873813135025216
71,1971,cf,9.689021723847498,10.435356489243985,0.7463347653964849
72,1972,cf,9.444198684035998,10.508761611004276,1.0645629269682786
73,1973,cf,10.699404389047352,9.78148744590804,-0.9179169431393124
74,1974,cf,10.13050172414868,11.624546550363794,1.4940448262151147
75,1975,cf,8.864158840449287,10.384220695811653,1.5200618553623642
76,1976,cf,10.818239023087491,10.8443226840685,0.0260836609810084
77,1977,cf,10.768530322302045,10.125059636275108,-0.6434706860269355
78,1978,cf,12.251960762842694,11.762808404136855,-0.4891523587058373
79,1979,cf,8.979747544442633,9.940563781938016,0.9608162374953828
80,1980,cf,12.606550363058346,11.632723046880889,-0.9738273161774575
81,1981,cf,8.292740980772503,8.839627813718966,0.5468868329464627
82,1982,cf,12.821596307366542,12.748155470247308,-0.0734408371192358
83,1983,cf,11.86496217192296,11.702460358037683,-0.1625018138852763
84,1984,cf,9.910796518527198,9.486591893801185,-0.4242046247260127
85,1985,cf,10.501090637016215,11.589732622266604,1.0886419852503888
86,1986,cf,9.652141544671096,9.225518297556102,-0.4266232471149944
87,1987,cf,11.075882721808552,11.317693117794873,0.2418103959863202
88,1988,cf,18.516379996915436,9.767047251063728,-8.749332745851705
89,1989,cf,10.905199407244377,11.27316062336967,0.367961216125293
90,1990,cf,11.624546378709018,9.636829854811277,-1.987716523897744
91,1991,cf,15.89205230290936,9.906756759766717,-5.985295543142646
92,1992,cf,16.511907402709586,10.421921925272862,-6.089985477436724
93,1993,cf,15.43852527183347,9.81047140016402,-5.628053871669451
94,1994,cf,14.536635021010524,9.01103260102978,-5.5256024199807445
95,1995,cf,15.718561878490894,10.176254764319918,-5.542307114170976
96,1996,cf,10.30154201916433,9.079750265349633,-1.2217917538146974
97,1997,cf,10.957673744542411,9.442028008995427,-1.5156457355469843
98,1998,cf,14.053298039291716,10.121766116361377,-3.93153192293034
99,1999,cf,20.709124138176207,9.983149205209967,-10.72597493296624
100,1900,cf,8.77811364113827,8.36255467890267,-0.4155589622356004
101,1901,cf,9.007104003534128,9.515701735907625,0.5085977323734951
102,1902,cf,9.08003718641171,8.462423572443143,-0.6176136139685671
103,1903,cf,8.96993279489871,8.791935235335055,-0.1779975595636553
104,1904,cf,8.863535375520339,8.71058029376126,-0.1529550817590781
105,1905,cf,9.326549876924243,9.17483848471547,-0.1517113922087727
106,1906,cf,8.573623400750117,8.838896244110568,0.2652728433604512
107,1907,cf,9.27566321331114,8.757128856800447,-0.5185343565106919
108,1908,cf,8.583552192264094,8.634354625924564,0.0508024336604702
109,1909,cf,8.969274791008363,8.867660569868761,-0.1016142211396022
110,1910,cf,8.9480762227802,8.68769318516309,-0.2603830376171103
111,1911,cf,8.59260511969175,8.393298368643045,-0.1993067510487058
112,1912,cf,9.045120014699972,8.405121765239892,-0.6399982494600795
113,1913,cf,8.767023621842801,8.515170740212723,-0.2518528816300787
114,1914,cf,8.829604291694093,8.872926347729148,0.0433220560350555
