delta,n,rmse,bias,comp_time
1,25,14.267893357400414,13.015439969396466,3.208778142929077
1,250,13.608764878736794,12.54322813813918,3.5003790855407715
1,2500,12.438460162625042,11.41871325883966,4.025306940078735
2,25,4.548365724192193,0.3567801903457397,3.4581081867218018
2,250,4.690378221351663,3.638966220940055,3.472083806991577
2,2500,2.8899446717608006,2.12210102654916,4.189212322235107
3,25,23.069539333571427,12.33787137877706,3.3061399459838867
3,250,13.256048353247964,3.464829090557332,3.3986058235168457
3,2500,12.452564433745817,0.8357876916825105,4.100931167602539
