delta,n,rmse,bias,comp_time
1,25,5.639953159611526,-3.024059799286349,0.3773000240325928
1,250,1.5723912394407895,-0.9158597679217582,1.127755641937256
1,2500,0.7606754939293641,-0.0985355937559776,7.763712882995605
2,25,12.321538098830782,-8.14948745348445,0.36452317237854
2,250,2.046629345607112,-1.8213762793858064,0.994163990020752
2,2500,1.5522722666163349,-1.4450952825220489,8.085540056228638
3,25,8.243930196020738,-3.537103339301949,0.3422536849975586
3,250,2.7013900658135137,-0.8453482722669201,1.094740867614746
3,2500,2.7170054211087016,-0.3071793205763507,8.083971738815308
