group_name,model,0
4,twfe,5.397042740918953
5,twfe,6.3928282032685555
9,twfe,10.268446612597847
15,twfe,23.916486782694186
21,twfe,20.948162736502248
28,twfe,26.869943287535047
34,twfe,4.108541267818516
36,twfe,6.848978276603538
54,twfe,8.17121650721904
65,twfe,4.256374624916568
74,twfe,5.070439249224495
104,twfe,17.917914023069553
106,twfe,16.340481644893288
117,twfe,9.516435784510003
133,twfe,5.1094176927217765
140,twfe,6.477273478394001
141,twfe,5.684690097548988
144,twfe,6.535978001540239
151,twfe,7.258232325342208
152,twfe,7.1326044898095216
170,twfe,6.5206373373978
186,twfe,13.898907323418705
195,twfe,8.848965487002719
223,twfe,5.777940111678756
227,twfe,8.716860376122998
231,twfe,9.19863479215293
241,twfe,12.488957115758154
255,twfe,8.799574944428798
