wbcode2,year,y,unrest,dem,logpop,pop14,pop1564,tradewb,nfagdp,democ,rever,l1,l2,l3,l4
3,1989,673.873779296875,1,0,1619.6998509250307,47.8505113024758,49.5798998834857,56.008087158203125,-125.2,0,0,676.02239990234375,673.0205078125,667.96142578125,667.9952392578125
3,1990,670.802001953125,1,0,1622.4963330274186,47.8015109809874,49.6537342725966,58.104331970214844,-128.5,0,0,673.873779296875,676.02239990234375,673.0205078125,667.96142578125
3,1991,666.559814453125,0,0,1625.5434921903093,47.9374831603394,49.5242444478479,51.191734313964844,-138.1,0,0,670.802001953125,673.873779296875,676.02239990234375,673.0205078125
3,1992,656.1832275390625,1,0,1628.775158633196,47.9763010644553,49.4966862523336,95.8445053100586,-181.9,0,0,666.559814453125,670.802001953125,673.873779296875,676.02239990234375
3,1993,624.51702880859375,1,0,1632.0774093183736,47.9472410149079,49.5414878646528,124.63143920898438,-268.2,0,0,656.1832275390625,666.559814453125,670.802001953125,673.873779296875
3,1994,624.7449951171875,1,0,1635.3047844998096,47.8714720176325,49.6368220600051,140.5140838623047,-387.1,0,0,624.51702880859375,656.1832275390625,666.559814453125,670.802001953125
3,1997,644.29998779296875,0,0,1644.031450328562,47.915332910009,49.6237176011247,137.87974548339844,-151.1,0,0,639.386474609375,631.6016845703125,624.7449951171875,624.51702880859375
3,1998,648.21417236328125,1,0,1646.7886654858464,47.9080062955896,49.6432405229597,125.90494537353516,-209.5,0,0,644.29998779296875,639.386474609375,631.6016845703125,624.7449951171875
3,1999,648.60089111328125,1,0,1649.666789937341,47.8680258701849,49.6999277426908,159.44085693359375,-261.4,0,0,648.21417236328125,644.29998779296875,639.386474609375,631.6016845703125
3,2000,648.544677734375,0,0,1652.7462337999225,47.8208520584664,49.7684584754611,182.323486328125,-165.1,0,0,648.60089111328125,648.21417236328125,644.29998779296875,639.386474609375
3,2001,648.3756103515625,1,0,1656.039343080956,47.9594887575114,49.6278655930032,138.21421813964844,-192.5,0,0,648.544677734375,648.60089111328125,648.21417236328125,644.29998779296875
3,2002,658.476806640625,1,0,1659.4931884708196,48.033494859245,49.5550319509443,149.90017700195312,-166.4,0,0,648.3756103515625,648.544677734375,648.60089111328125,648.21417236328125
3,2003,658.23748779296875,0,0,1663.0403875128977,48.0662820573116,49.5265614407903,131.76873779296875,-159.1,0,0,658.476806640625,648.3756103515625,648.544677734375,648.60089111328125
3,2004,665.41162109375,0,0,1666.5956910025138,48.0712324014917,49.5288022896129,132.7497100830078,-109.7,0,0,658.23748779296875,658.476806640625,648.3756103515625,648.544677734375
3,2005,680.87664794921875,0,0,1670.1034026320058,48.0505714806646,49.5587771121014,139.72842407226562,-50.9,0,0,665.41162109375,658.23748779296875,658.476806640625,648.3756103515625
3,2006,694.79156494140625,0,0,1673.5520241185263,48.1778761087243,49.4333485047327,133.47653198242188,-7.2,0,0,680.87664794921875,665.41162109375,658.23748779296875,658.476806640625
3,2007,712.26611328125,0,0,1676.9582308447855,48.2480237211325,49.3671596719062,115.37184143066406,9.8,0,0,694.79156494140625,680.87664794921875,665.41162109375,658.23748779296875
3,2008,722.3104248046875,0,0,1680.3324111046456,48.2659754682067,49.3561038009246,121.6141586303711,9.9,0,0,712.26611328125,694.79156494140625,680.87664794921875,665.41162109375
3,2009,720.1400146484375,0,0,1683.6915597747425,48.2332569188371,49.4000882939038,106.28189086914062,3.5,0,0,722.3104248046875,712.26611328125,694.79156494140625,680.87664794921875
3,2010,723.05657958984375,0,0,1687.0452523381502,48.1525878896816,49.496205316939,117.80996704101562,11.2,0,0,720.1400146484375,722.3104248046875,712.26611328125,694.79156494140625
4,1993,657.1220703125,0,1,1498.7152404172707,32.8128120470664,61.1488567771175,103.93476867675781,-40.8,1,0,646.65887451171875,653.37774658203125,688.5269775390625,699.62005615234375
4,1994,666.5152587890625,0,1,1498.101359910341,32.7300156592586,61.0254490016984,73.64423370361328,-25.9,1,0,657.1220703125,646.65887451171875,653.37774658203125,688.5269775390625
4,1995,680.21533203125,0,1,1497.483656251904,32.6548486558362,60.8999117077233,51.425697326660156,-3.4,1,0,666.5152587890625,657.1220703125,646.65887451171875,653.37774658203125
4,1996,689.83642578125,0,0,1496.8621448528866,32.1279778941629,61.292178546549,46.82856369018555,-2,1,1,680.21533203125,666.5152587890625,657.1220703125,646.65887451171875
4,1997,679.74505615234375,1,1,1496.2367147559867,31.6641934556541,61.6368916636567,45.70269012451172,-7.3,2,1,689.83642578125,680.21533203125,666.5152587890625,657.1220703125
4,1998,692.117919921875,1,1,1495.6073803634608,31.2372175946486,61.9503122564776,47.50042724609375,-6.6,2,1,679.74505615234375,689.83642578125,680.21533203125,666.5152587890625
4,1999,701.94500732421875,0,1,1494.9740280894734,30.7868337843447,62.2778103992775,51.660560607910156,-4.7,2,1,692.117919921875,679.74505615234375,689.83642578125,680.21533203125
4,2000,709.0191650390625,0,1,1494.3366712555298,30.2633117283506,62.662201530126,51.164398193359375,-12.6,2,1,701.94500732421875,692.117919921875,679.74505615234375,689.83642578125
4,2001,715.60540771484375,0,1,1493.398200827818,29.6367937830276,63.0242761659144,58.009620666503906,-10,2,1,709.0191650390625,701.94500732421875,692.117919921875,679.74505615234375
4,2002,718.06201171875,0,1,1493.0983241307333,28.9228820484184,63.4510065601234,59.12967300415039,-10.1,2,1,715.60540771484375,709.0191650390625,701.94500732421875,692.117919921875
4,2003,723.05926513671875,0,1,1492.7241749614418,28.1148652008553,63.9529746923769,67.33599853515625,-15,2,1,718.06201171875,715.60540771484375,709.0191650390625,701.94500732421875
4,2004,728.20892333984375,0,1,1492.3062435835159,27.2320522411863,64.5155002419648,67.4163589477539,-10.7,2,1,723.05926513671875,718.06201171875,715.60540771484375,709.0191650390625
4,2005,733.02239990234375,0,1,1491.7944534670942,26.2911025082312,65.1267028575952,65.57957458496094,-16.2,2,1,728.20892333984375,723.05926513671875,718.06201171875,715.60540771484375
4,2006,737.43121337890625,0,1,1491.1635422222425,25.2543562367307,65.7237372821882,71.4166488647461,-15.4,2,1,733.02239990234375,728.20892333984375,723.05926513671875,718.06201171875
4,2007,742.75091552734375,0,1,1490.4078234668225,24.2331647983675,66.2853235084191,77.92830657958984,-20.7,2,1,737.43121337890625,733.02239990234375,728.20892333984375,723.05926513671875
4,2008,749.79937744140625,0,1,1489.6404805076802,23.2230782344899,66.8164295056715,84.476043701171875,-26.3,2,1,742.75091552734375,737.43121337890625,733.02239990234375,728.20892333984375
4,2009,752.69073486328125,0,1,1488.9665864612284,22.2681018988452,67.2779760031619,84.53082275390625,-34.4,2,1,749.79937744140625,742.75091552734375,737.43121337890625,733.02239990234375
4,2010,755.74713134765625,0,1,1488.470124497841,21.4251229288017,67.6200591133412,85.93754577636719,-36.6,2,1,752.69073486328125,749.79937744140625,742.75091552734375,737.43121337890625
